Sub,Block,Obj,AE,SR
5,1,121,0.491666667,0.011111111
5,1,72,0.555555556,0.037962963
5,1,106,0.811111111,0.724074074
5,1,80,0.400925926,0.012962963
5,1,29,0.563888889,0.60462963
5,1,104,0.417592593,0.023148148
5,1,116,0.592592593,0.926851852
5,1,62,0.275,0.042592593
5,1,112,0.20462963,0.022222222
5,1,25,0.622222222,0.585185185
5,1,19,0.04537037,0.015740741
5,1,67,0.832407407,0.840740741
5,1,21,0.562962963,0.592592593
5,1,92,0.412962963,0.023148148
5,1,8,0.567592593,0.603703704
5,1,78,0.134259259,0.032407407
5,1,132,0.547222222,0.609259259
5,1,4,0.631481481,0.562962963
5,1,3,0.353703704,0.005555556
5,1,98,0.323148148,0.014814815
5,1,81,0.668518519,0.559259259
5,1,96,0.403703704,0.051851852
5,1,6,0.414814815,0.602777778
5,1,146,0.213888889,0.025925926
5,1,102,0.302777778,0.010185185
5,1,18,0.347222222,0.017592593
5,1,22,0.12962963,0.013888889
5,1,7,0.49537037,0.011111111
5,1,126,0.935185185,0.925
5,1,99,0.318518519,0.016666667
5,1,79,0.467592593,0.313888889
5,1,128,0.551851852,0.564814815
5,1,75,0.723148148,0.749074074
5,1,42,0.626851852,0.596296296
5,1,84,0.298148148,0.022222222
5,1,41,0.72962963,0.637037037
5,1,113,0.321296296,0
5,1,118,0.607407407,0.119444444
5,1,56,0.537037037,0.197222222
5,1,15,0.636111111,0.840740741
5,1,95,0.555555556,0.02037037
5,1,129,0.780555556,0.67962963
5,1,48,0.686111111,0.492592593
5,1,52,0.600925926,0.394444444
5,1,16,0.208333333,0.021296296
5,1,65,0.233333333,0.037037037
5,1,26,0.557407407,0.019444444
5,1,97,0.298148148,0.015740741
5,1,54,0.54537037,0.046296296
5,1,89,0.887037037,0.687037037
5,1,34,0.728703704,0.676851852
5,1,105,0.672222222,0.640740741
5,1,32,0.776851852,0.658333333
5,1,33,0.221296296,0.019444444
5,1,59,0.594444444,0.492592593
5,1,142,0.652777778,0.191666667
5,1,2,0.737037037,0.1
5,1,45,0.717592593,0.572222222
5,1,140,0.755555556,0.669444444
5,1,24,0.774074074,0.667592593
5,1,39,0.772222222,0.607407407
5,1,5,0.609259259,0.411111111
5,1,63,0.351851852,0.216666667
5,1,1,0.462037037,0.663888889
5,1,73,0.376851852,0.225
5,1,27,0.572222222,0.647222222
5,1,94,0.312962963,0.013888889
5,1,101,0.674074074,0.167592593
5,1,87,0.597222222,0.277777778
5,1,44,0.55648148099999994,0.25462963
5,1,135,0.775925926,0.843518519
5,1,145,0.662962963,0.078703704
5,1,111,0.55648148099999994,0.032407407
5,1,86,0.365740741,0.026851852
5,1,82,0.24537037,0.073148148
5,1,20,0.581481481,0.39537037
5,1,138,0.59537037,0.676851852
5,1,64,0.585185185,0.775
5,1,136,0.410185185,0.092592593
5,1,133,0.412962963,0.027777778
5,1,130,0.387962963,0.025925926
5,1,88,0.505555556,0.010185185
5,1,91,0.55648148099999994,0.021296296
5,1,83,0.146296296,0
5,1,109,0.325925926,0
5,1,85,0.649074074,0.143518519
5,1,107,0.805555556,0.628703704
5,1,46,0.702777778,0.630555556
5,1,31,0.55462963,0.581481481
5,1,12,0.649074074,0.650925926
5,1,124,0.35462963,0.02037037
5,1,50,0.394444444,0.016666667
5,1,114,0.294444444,0.009259259
5,1,28,0.603703704,0.643518519
