Obj,Rating,Sub,Block
OBJECTS40,NA,237,2
OBJECTS24,7,237,2
OBJECTS35,NA,237,2
OBJECTS3,4,237,1
OBJECTS43,4,237,1
OBJECTS21,2,248,1
OBJECTS40,NA,248,2
OBJECTS9,2,248,1
OBJECTS45,5,248,1
OBJECTS45,NA,248,2
OBJECTS31,NA,248,2
OBJECTS16,NA,248,2
OBJECTS38,4,248,1
OBJECTS5,NA,248,2
OBJECTS3,5,248,2
OBJECTS11,NA,248,2
OBJECTS9,3,248,2
OBJECTS42,5,248,1
OBJECTS32,NA,248,2
OBJECTS38,NA,248,2
OBJECTS40,5,248,1
OBJECTS49,4,248,1
OBJECTS42,NA,248,2
OBJECTS6,5,248,2
OBJECTS12,4,248,2
OBJECTS27,6,248,1
OBJECTS35,NA,248,2
OBJECTS26,NA,248,2
OBJECTS39,5,248,1
OBJECTS5,3,248,1
OBJECTS43,3,248,2
OBJECTS39,6,248,2
OBJECTS18,6,248,1
OBJECTS25,6,248,1
OBJECTS7,NA,248,2
OBJECTS8,NA,248,2
OBJECTS22,NA,248,2
OBJECTS18,6,248,2
OBJECTS34,NA,248,2
OBJECTS6,4,248,1
OBJECTS23,5,248,1
OBJECTS8,4,248,1
OBJECTS21,2,248,2
OBJECTS24,6,248,2
OBJECTS25,NA,248,2
OBJECTS33,4,248,2
OBJECTS12,4,248,1
OBJECTS34,6,248,1
OBJECTS37,NA,248,2
OBJECTS7,4,248,1
OBJECTS27,6,248,2
OBJECTS43,4,248,1
OBJECTS23,NA,248,2
OBJECTS3,3,248,1
OBJECTS16,2,248,1
OBJECTS33,5,248,1
OBJECTS24,6,248,1
OBJECTS11,4,248,1
OBJECTS26,5,248,1
OBJECTS32,5,248,1
OBJECTS31,5,248,1
OBJECTS35,6,248,1
OBJECTS37,5,248,1
OBJECTS49,NA,248,2
OBJECTS22,2,248,1
OBJECTS40,NA,277,2
OBJECTS21,4,277,1
OBJECTS12,3,277,1
OBJECTS11,5,277,1
OBJECTS33,6,277,2
OBJECTS9,3,277,2
OBJECTS8,3,277,1
OBJECTS5,NA,277,2
OBJECTS26,6,277,1
OBJECTS37,4,277,1
OBJECTS16,NA,277,2
OBJECTS43,4,277,2
OBJECTS45,5,277,1
OBJECTS23,5,277,1
OBJECTS7,3,277,1
OBJECTS25,NA,277,2
OBJECTS9,3,277,1
OBJECTS6,5,277,2
OBJECTS24,4,277,2
OBJECTS35,4,277,1
OBJECTS22,NA,277,2
OBJECTS25,6,277,1
OBJECTS24,5,277,1
OBJECTS3,5,277,2
OBJECTS49,3,277,1
OBJECTS38,3,277,1
OBJECTS27,4,277,1
OBJECTS8,NA,277,2
OBJECTS32,6,277,1
OBJECTS43,4,277,1
OBJECTS18,5,277,1
OBJECTS31,6,277,1
OBJECTS11,NA,277,2
OBJECTS21,3,277,2
OBJECTS12,3,277,2
OBJECTS5,4,277,1
OBJECTS42,3,277,1
OBJECTS40,4,277,1
OBJECTS16,2,277,1
OBJECTS34,6,277,1
OBJECTS33,6,277,1
OBJECTS18,5,277,2
OBJECTS42,NA,277,2
OBJECTS38,NA,277,2
OBJECTS39,5,277,2
OBJECTS23,NA,277,2
OBJECTS7,NA,277,2
OBJECTS26,NA,277,2
OBJECTS31,NA,277,2
OBJECTS22,4,277,1
OBJECTS3,6,277,1
OBJECTS35,NA,277,2
OBJECTS32,NA,277,2
OBJECTS39,4,277,1
OBJECTS37,NA,277,2
OBJECTS27,4,277,2
OBJECTS34,NA,277,2
OBJECTS45,NA,277,2
OBJECTS49,NA,277,2
OBJECTS6,5,277,1
OBJECTS25,2,290,1
OBJECTS24,3,290,1
OBJECTS34,4,290,1
OBJECTS21,2,290,1
OBJECTS43,2,290,1
OBJECTS33,3,290,2
OBJECTS18,5,290,2
OBJECTS27,2,290,2
OBJECTS6,4,290,2
OBJECTS45,4,290,1
OBJECTS12,3,290,2
OBJECTS49,NA,290,2
OBJECTS49,4,290,1
OBJECTS37,2,290,1
OBJECTS18,5,290,1
OBJECTS31,4,290,1
OBJECTS9,1,290,2
OBJECTS35,5,290,1
OBJECTS43,2,290,2
OBJECTS34,NA,290,2
OBJECTS5,3,290,1
OBJECTS33,3,290,1
OBJECTS23,4,290,1
OBJECTS5,NA,290,2
OBJECTS42,NA,290,2
OBJECTS45,NA,290,2
OBJECTS9,2,290,1
OBJECTS3,2,290,2
OBJECTS22,NA,290,2
OBJECTS32,2,290,1
OBJECTS16,NA,290,2
OBJECTS3,2,290,1
OBJECTS42,2,290,1
OBJECTS8,NA,290,2
OBJECTS37,NA,290,2
OBJECTS22,3,290,1
OBJECTS16,3,290,1
OBJECTS6,5,290,1
OBJECTS24,2,290,2
OBJECTS40,3,290,1
OBJECTS38,NA,290,2
OBJECTS40,NA,290,2
OBJECTS25,NA,290,2
OBJECTS26,4,290,1
OBJECTS23,NA,290,2
OBJECTS8,3,290,1
OBJECTS27,5,290,1
OBJECTS21,3,290,2
OBJECTS38,2,290,1
OBJECTS12,4,290,1
OBJECTS32,NA,290,2
OBJECTS11,4,290,1
OBJECTS39,4,290,2
OBJECTS11,NA,290,2
OBJECTS31,NA,290,2
OBJECTS7,4,290,1
OBJECTS39,4,290,1
OBJECTS26,NA,290,2
OBJECTS35,NA,290,2
OBJECTS7,NA,290,2
OBJECTS26,NA,303,2
OBJECTS27,6,303,1
OBJECTS31,NA,303,2
OBJECTS5,NA,303,2
OBJECTS25,6,303,1
OBJECTS25,NA,303,2
OBJECTS42,NA,303,2
OBJECTS11,4,303,1
OBJECTS16,NA,303,2
OBJECTS34,5,303,1
OBJECTS40,NA,303,2
OBJECTS9,3,303,1
OBJECTS37,5,303,1
OBJECTS23,NA,303,2
OBJECTS31,5,303,1
OBJECTS21,3,303,2
OBJECTS7,NA,303,2
OBJECTS7,4,303,1
OBJECTS45,6,303,1
OBJECTS45,NA,303,2
OBJECTS8,4,303,1
OBJECTS9,3,303,2
OBJECTS34,NA,303,2
OBJECTS37,NA,303,2
OBJECTS33,6,303,2
OBJECTS43,3,303,1
OBJECTS40,4,303,1
OBJECTS23,5,303,1
OBJECTS18,6,303,2
OBJECTS43,3,303,2
OBJECTS26,5,303,1
OBJECTS35,NA,303,2
OBJECTS3,3,303,2
OBJECTS42,5,303,1
OBJECTS5,5,303,1
OBJECTS24,6,303,1
OBJECTS32,NA,303,2
OBJECTS24,5,303,2
OBJECTS16,4,303,1
OBJECTS22,3,303,1
OBJECTS18,6,303,1
OBJECTS49,NA,303,2
OBJECTS49,4,303,1
OBJECTS6,5,303,2
OBJECTS12,6,303,2
OBJECTS21,3,303,1
OBJECTS38,NA,303,2
OBJECTS38,4,303,1
OBJECTS35,5,303,1
OBJECTS32,5,303,1
OBJECTS22,NA,303,2
OBJECTS27,5,303,2
OBJECTS39,5,303,1
OBJECTS33,6,303,1
OBJECTS39,6,303,2
OBJECTS12,5,303,1
OBJECTS11,NA,303,2
OBJECTS3,3,303,1
OBJECTS6,6,303,1
OBJECTS8,NA,303,2
OBJECTS7,3,307,1
OBJECTS38,NA,307,2
OBJECTS18,2,307,1
OBJECTS6,3,307,2
OBJECTS11,NA,307,2
OBJECTS31,NA,307,2
OBJECTS27,3,307,1
OBJECTS22,4,307,1
OBJECTS22,NA,307,2
OBJECTS35,3,307,1
OBJECTS43,2,307,1
OBJECTS9,2,307,1
OBJECTS5,NA,307,2
OBJECTS39,2,307,2
OBJECTS6,4,307,1
OBJECTS32,4,307,1
OBJECTS7,NA,307,2
OBJECTS45,NA,307,2
OBJECTS21,2,307,1
OBJECTS25,NA,307,2
OBJECTS16,2,307,1
